match_id,tournament_id,venue_id,match_date,team_1,team_2,toss_winner,toss_decision,player_of_match,match_winner,match_win_by_runs,match_win_by_wickets,highlights_url,match_url,match_description
282,5,23,['2008-05-18'],69,531,69,bat,8719,531,3,NA,NA,NA,NA
283,5,2,['2008-05-19'],359,238,238,field,2320,238,NA,5,NA,NA,NA
284,5,23,['2008-05-20'],69,60,60,field,2759,60,NA,6,NA,NA,NA
285,5,25,['2008-05-21'],336,479,336,field,7653,479,1,NA,NA,NA,NA
286,5,33,['2008-05-21'],531,359,359,bat,2395,359,14,NA,NA,NA,NA
287,5,3,['2008-05-23'],479,144,479,field,7653,479,NA,6,NA,NA,NA
288,5,1,['2008-05-24'],238,336,238,field,2485,238,NA,5,NA,NA,NA
289,5,33,['2008-05-24'],531,60,60,bat,8504,60,10,NA,NA,NA,NA
290,5,2,['2008-05-03'],359,144,144,field,186,359,3,NA,NA,NA,NA
291,5,23,['2008-05-25'],69,479,479,bat,4036,69,NA,3,NA,NA,NA
292,5,12,['2008-05-26'],60,336,60,field,3792,60,NA,5,NA,NA,NA
293,5,31,['2008-05-27'],144,531,144,bat,2969,531,NA,7,NA,NA,NA
294,5,25,['2008-05-30'],238,60,238,field,8034,60,105,NA,NA,NA,NA
295,5,25,['2008-05-31'],531,479,479,bat,8719,531,NA,9,NA,NA,NA
296,5,34,['2008-06-01'],531,60,60,field,2759,60,NA,3,NA,NA,NA
297,5,30,['2009-04-18'],531,336,531,field,2998,336,19,NA,NA,NA,NA
298,5,30,['2009-04-18'],359,60,359,bat,2221,359,75,NA,NA,NA,NA
299,5,30,['2009-04-19'],238,479,238,field,2037,238,NA,10,NA,NA,NA
300,5,30,['2009-04-19'],144,69,69,bat,2677,144,NA,8,NA,NA,NA
301,5,18,['2009-04-20'],359,531,531,bat,4596,531,92,NA,NA,NA,NA
302,5,8,['2009-04-21'],479,69,69,field,9246,69,11,NA,NA,NA,NA
303,5,30,['2009-04-22'],359,144,144,bat,7504,144,24,NA,NA,NA,NA
304,5,8,['2009-04-23'],531,238,238,bat,8304,238,9,NA,NA,NA,NA
305,5,30,['2009-04-23'],69,60,69,field,2759,TIE,NA,NA,NA,NA,NA
306,5,8,['2009-04-24'],359,479,359,bat,5311,479,NA,7,NA,NA,NA
307,5,8,['2009-04-25'],144,336,144,bat,2796,144,12,NA,NA,NA,NA
308,5,18,['2009-04-26'],359,238,359,bat,4153,238,NA,6,NA,NA,NA
309,5,30,['2009-04-26'],479,60,479,bat,4946,479,27,NA,NA,NA,NA
310,5,8,['2009-04-27'],531,144,144,field,8404,144,NA,6,NA,NA,NA
311,5,18,['2009-04-27'],69,336,336,bat,2998,336,92,NA,NA,NA,NA
312,5,32,['2009-04-28'],238,60,238,bat,2759,60,NA,5,NA,NA,NA
313,5,8,['2009-04-29'],359,69,69,bat,8084,359,NA,5,NA,NA,NA
314,5,8,['2009-04-29'],479,336,479,bat,4946,479,3,NA,NA,NA,NA
315,5,32,['2009-04-30'],144,238,238,field,7776,238,NA,6,NA,NA,NA
316,5,32,['2009-04-30'],531,60,60,field,2969,531,38,NA,NA,NA,NA
317,5,21,['2009-05-01'],69,336,336,bat,8272,336,9,NA,NA,NA,NA
